N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,24,E_urophylla_grandis,432,51,6.5,9,
2,24,E_urophylla_grandis,432,52,6,8.5,
2,24,E_urophylla_grandis,432,53,6,8,
2,24,E_urophylla_grandis,432,54,6,8,
2,24,E_urophylla_grandis,432,55,6.5,8,
2,24,E_urophylla_grandis,432,56,6.5,8,
2,24,E_urophylla_grandis,432,57,7,8.5,
2,24,E_urophylla_grandis,432,58,7,9,
2,24,E_urophylla_grandis,432,59,8,9,
2,24,E_urophylla_grandis,432,60,7,9,
2,24,E_urophylla_grandis,432,61,7,9.5,
2,24,E_urophylla_grandis,432,62,6.5,8,
2,24,E_urophylla_grandis,432,63,7,8,
2,24,E_urophylla_grandis,432,64,7.5,8.5,
2,24,E_urophylla_grandis,432,65,7,8,
2,24,E_urophylla_grandis,432,66,7,9.5,
2,24,E_urophylla_grandis,432,67,7,8.5,
2,24,E_urophylla_grandis,432,68,9,8.5,
2,24,E_urophylla_grandis,432,69,7.5,9,
2,24,E_urophylla_grandis,432,70,6,8,
2,24,E_urophylla_grandis,432,71,7.5,8,
2,24,E_urophylla_grandis,432,72,7.5,8,
2,24,E_urophylla,432,1,8,8.5,
2,24,E_urophylla,432,2,9,9,
2,24,E_urophylla,432,3,7,8.5,
2,24,E_urophylla,432,4,8,9,
2,24,E_urophylla,432,5,9,9.5,
2,24,E_urophylla,432,6,8,8.5,
2,24,E_urophylla,432,7,10,10.5,
2,24,E_urophylla,432,8,9.5,10,
2,24,E_urophylla,432,9,7,8.5,
2,24,E_urophylla,432,10,8,8.5,
2,24,E_urophylla,432,11,6.5,8,
2,24,E_urophylla,432,12,8,8,
2,24,E_urophylla,432,13,7.5,9,
2,24,E_urophylla,432,14,8.5,9,
2,24,E_urophylla,432,15,5.5,7.5,
2,24,E_urophylla,432,16,12,10,
2,24,E_urophylla,432,17,7,8.5,
2,24,E_urophylla,432,18,10.5,10.5,
2,24,E_urophylla,432,19,6,7.5,
2,24,E_urophylla,432,20,8.5,8.5,
2,24,E_urophylla,432,21,8,8.5,
2,24,E_urophylla,432,22,10.5,10,
2,24,E_urophylla,432,23,8,9.5,
2,24,E_urophylla,432,24,8,9,
2,24,E_urophylla,432,25,8.5,9.5,
2,24,E_urophylla,432,26,8,8.5,
2,24,E_urophylla,432,27,8,9.5,
2,24,E_urophylla,432,28,8,7.5,
2,24,E_urophylla,432,29,9,9,
2,24,E_urophylla,432,30,0,,1
2,24,E_urophylla,432,31,8.5,9.5,
2,24,E_urophylla,432,32,7.5,8.5,
2,24,E_urophylla,432,33,0,,1
2,24,E_urophylla,432,34,7.5,8.5,
2,24,E_urophylla,432,35,9,9.5,
2,24,E_urophylla,432,36,9,8.5,
2,24,E_urophylla,432,37,7.5,7.5,
2,24,E_urophylla,432,38,10,9.5,
2,24,E_urophylla,432,39,10,10,
2,24,E_urophylla,432,40,9,7,
2,24,E_urophylla,432,41,7.5,8,
2,24,E_urophylla,432,42,7,8,
2,24,E_urophylla,432,43,8,8,
2,24,E_urophylla,432,44,2.5,5,
2,24,E_urophylla,432,45,7.5,8.5,
2,24,E_urophylla,432,46,8.5,8.5,
2,24,E_urophylla,432,47,7.5,9,
2,24,E_urophylla,432,48,8,8.5,
